GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
0500000US47063,47063,"Hamblen County, Tennessee",38600,48316,55796,21106,51539,59651,69700,32125
0500000US47065,47065,"Hamilton County, Tennessee",47880,61368,75869,27287,67422,81797,97476,38582
0500000US47067,47067,"Hancock County, Tennessee",26528,34494,43464,14274,35875,44395,N,18700
0500000US47069,47069,"Hardeman County, Tennessee",30260,40330,53525,17020,41951,51304,N,21304
0500000US47071,47071,"Hardin County, Tennessee",34084,42471,51250,17061,51737,63467,N,27208
0500000US47073,47073,"Hawkins County, Tennessee",37432,46969,54787,22022,50938,58030,66006,32596
0500000US47075,47075,"Haywood County, Tennessee",33922,42667,51469,18901,46634,58896,N,25616
0500000US47077,47077,"Henderson County, Tennessee",38696,49092,58456,19175,49600,58983,N,27186
0500000US47079,47079,"Henry County, Tennessee",38694,48068,53909,21663,52223,60728,N,33451
0500000US47081,47081,"Hickman County, Tennessee",38032,47740,53120,17444,49735,58987,N,24555
0500000US47083,47083,"Houston County, Tennessee",38637,49931,53509,19668,47898,55754,N,28763
0500000US47085,47085,"Humphreys County, Tennessee",41152,53789,58770,22719,52937,63423,N,28858
0500000US47087,47087,"Jackson County, Tennessee",33500,40561,46071,16836,44991,51153,N,26299
0500000US47089,47089,"Jefferson County, Tennessee",41426,50328,57750,21057,54816,63125,70530,31150
0500000US47091,47091,"Johnson County, Tennessee",31711,41018,45920,16452,41297,48989,N,22522
0500000US47093,47093,"Knox County, Tennessee",47543,64691,77116,29296,67521,85436,98905,38953
0500000US47095,47095,"Lake County, Tennessee",29214,40362,54717,18147,41849,50217,N,23693
0500000US47097,47097,"Lauderdale County, Tennessee",31185,38806,53054,17758,42955,50653,N,24381
0500000US47099,47099,"Lawrence County, Tennessee",37371,47124,55015,19330,50183,59318,N,25686
0500000US47101,47101,"Lewis County, Tennessee",36114,42870,46701,20658,44360,52151,N,26129
0500000US47103,47103,"Lincoln County, Tennessee",41328,50369,57066,22496,51747,60085,N,31419
0500000US47105,47105,"Loudon County, Tennessee",50619,60062,66575,27234,69191,78126,N,41056
0500000US47107,47107,"McMinn County, Tennessee",39644,50058,54923,20414,50893,58042,64861,33220
0500000US47109,47109,"McNairy County, Tennessee",32214,41380,46948,15172,44244,53916,N,22950
0500000US47111,47111,"Macon County, Tennessee",34156,41848,49674,18847,44931,52254,N,24509
0500000US47113,47113,"Madison County, Tennessee",42069,55267,71832,24515,59880,72763,88358,32902
0500000US47115,47115,"Marion County, Tennessee",40998,49212,61050,19868,51895,60530,N,28676
0500000US47117,47117,"Marshall County, Tennessee",41822,49876,58576,22485,54439,63593,N,28575
0500000US47119,47119,"Maury County, Tennessee",46565,57597,67589,25138,58254,69056,N,32497
0500000US47121,47121,"Meigs County, Tennessee",33061,39840,52734,21513,45595,52707,N,26199
0500000US47123,47123,"Monroe County, Tennessee",37202,44836,49678,18009,50561,57974,N,27957
